book_chapter_verse,gloss,lemma,normalized,book,chapter
1CO 10:1,Not I want for you to be ignorant brothers that the fathers of us all under the cloud were and all through the sea passed,οὐ θέλω γάρ σύ ἀγνοέω ἀδελφός ὅτι ὁ πατήρ ἐγώ πᾶς ὑπό ὁ νεφέλη εἰμί καί πᾶς διά ὁ θάλασσα διέρχομαι,Οὐ θέλω γάρ ὑμᾶς ἀγνοεῖν ἀδελφοί ὅτι οἱ πατέρες ἡμῶν πάντες ὑπό τήν νεφέλην ἦσαν καί πάντες διά τῆς θαλάσσης διῆλθον,1 Corinthians,1 Corinthians 10
1CO 10:10,Neither are you to grumble as some of them grumbled and perished by the Destroyer,μηδέ γογγύζω καθάπερ τὶς αὐτός γογγύζω καί ἀπόλλυμι ὑπό ὁ ὀλοθρευτής,μηδέ γογγύζετε καθάπερ τινές αὐτῶν ἐγόγγυσαν καί ἀπώλοντο ὑπό τοῦ ὀλοθρευτοῦ,1 Corinthians,1 Corinthians 10
1CO 10:11,These things now [as] types happened to them were written then for admonition of us to whom the ends of the ages are arrived,οὗτος δέ τυπικώς συμβαίνω ἐκεῖνος γράφω δέ πρός νουθεσία ἐγώ εἰς ὅς ὁ τέλος ὁ αἰών καταντάω,ταῦτα δέ τυπικῶς συνέβαινεν ἐκείνοις ἐγράφη δέ πρός νουθεσίαν ἡμῶν εἰς οὕς τά τέλη τῶν αἰώνων κατήντηκεν,1 Corinthians,1 Corinthians 10
1CO 10:12,Therefore the [one] thinking to stand let him take heed lest he fall,ὥστε ὁ δοκέω ἵστημι βλέπω μή πίπτω,Ὥστε ὁ δοκῶν ἑστάναι βλεπέτω μή πέσῃ,1 Corinthians,1 Corinthians 10
1CO 10:13,Temptation you not has seized if not what is common to man faithful now - [is] God who not will allow you to be tempted beyond what you are able but will provide with the temptation also the escape - to be able to endure [it],πειρασμός σύ οὐ λαμβάνω εἰ μή ἀνθρώπινος πιστός δέ ὁ θεός ὅς οὐ ἐάω σύ πειράζω ὑπέρ ὅς δύναμαι ἀλλά ποιέω σύν ὁ πειρασμός καί ὁ ἔκβασις ὁ δύναμαι ὑποφέρω,πειρασμός ὑμᾶς οὐκ εἴληφεν εἰ μή ἀνθρώπινος πιστός δέ ὁ Θεός ὅς οὐκ ἐάσει ὑμᾶς πειρασθῆναι ὑπέρ ὅ δύνασθε ἀλλά ποιήσει σύν τῷ πειρασμῷ καί τήν ἔκβασιν τοῦ δύνασθαι ὑπενεγκεῖν,1 Corinthians,1 Corinthians 10
1CO 10:14,Therefore beloved of me flee from - idolatry,διόπερ ἀγαπητός ἐγώ φεύγω ἀπό ὁ εἰδωλολατρία,Διόπερ ἀγαπητοί μου φεύγετε ἀπό τῆς εἰδωλολατρείας,1 Corinthians,1 Corinthians 10
1CO 10:15,As to sensible [ones] I speak judge for yourselves what I say,ὡς φρόνιμος λέγω κρίνω σύ ὅς φημί,ὡς φρονίμοις λέγω κρίνατε ὑμεῖς ὅ φημι,1 Corinthians,1 Corinthians 10
1CO 10:16,The cup - of blessing that we bless not a participation is it in the blood - of Christ The bread that we break not a participation in the body - of Christ is it,ὁ ποτήριον ὁ εὐλογία ὅς εὐλογέω οὐχί κοινωνία εἰμί ὁ αἷμα ὁ Χριστός ὁ ἄρτος ὅς κλάω οὐχί κοινωνία ὁ σῶμα ὁ Χριστός εἰμί,Τό ποτήριον τῆς εὐλογίας ὅ εὐλογοῦμεν οὐχί κοινωνία ἐστίν τοῦ αἵματος τοῦ Χριστοῦ τόν ἄρτον ὅν κλῶμεν οὐχί κοινωνία τοῦ σώματος τοῦ Χριστοῦ ἐστιν,1 Corinthians,1 Corinthians 10
1CO 10:17,Because [there is] one loaf one body the many we are - for all of the one loaf we partake,ὅτι εἷς ἄρτος εἷς σῶμα ὁ πολύς εἰμί ὁ γάρ πᾶς ἐκ ὁ εἷς ἄρτος μετέχω,ὅτι εἷς ἄρτος ἕν σῶμα οἱ πολλοί ἐσμεν οἱ γάρ πάντες ἐκ τοῦ ἑνός ἄρτου μετέχομεν,1 Corinthians,1 Corinthians 10
1CO 10:18,Consider - Israel according to flesh Not those eating the sacrifices fellow partakers in the altar are,βλέπω ὁ Ἰσραήλ κατά σάρξ οὐ ὁ ἐσθίω ὁ θυσία κοινωνός ὁ θυσιαστήριον εἰμί,βλέπετε τόν Ἰσραήλ κατά σάρκα οὐχ οἱ ἐσθίοντες τάς θυσίας κοινωνοί τοῦ θυσιαστηρίου εἰσίν,1 Corinthians,1 Corinthians 10
